epoch,step,train_accuracy,train_loss_0,valid_accuracy,valid_loss,valid_loss_0
0,2,,,0.46666666865348816,0.772573709487915,0.772573709487915
0,2,0.5882353186607361,0.7841285467147827,,,
1,5,,,0.46666666865348816,0.8131760358810425,0.8131760358810425
1,5,0.5882353186607361,0.7342154383659363,,,
